teks,entitas
"Direktur Utama, Larry Page, menyampaikan pernyataan resmi kemarin.","[{""start"": 16, ""end"": 26, ""label"": ""PER""}]"
Kemarin Nelson Mandela membahas Makassar bersama timnya.,"[{""start"": 8, ""end"": 22, ""label"": ""PER""}]"
@joetaslim baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 10, ""label"": ""PER""}]"
Kantor cabang baru akan dibuka di Jawa Barat.,[]
"Rumah kost berada di Gang Merdeka No. 101A, Balikpapan.","[{""start"": 21, ""end"": 54, ""label"": ""ADR""}]"
ATLET MEKAR DENGAN INDAH DI TAMAN SETIAP PAGI.,[]
"Keanu Reeves tinggal di PO Box 3331, Surabaya 32665.","[{""start"": 0, ""end"": 12, ""label"": ""PER""}, {""start"": 24, ""end"": 51, ""label"": ""ADR""}]"
"Alamat saya di Perumahan Bukit Indah Blok C18 No. 29, Bogor.","[{""start"": 15, ""end"": 59, ""label"": ""ADR""}]"
Banyak pihak yang setuju dengan analisis Made mengenai krisis ekonomi.,"[{""start"": 41, ""end"": 45, ""label"": ""PER""}]"
"Di antara peserta terdapat Rishi Sunak, Larry Page, René Descartes, dan Ahmad Yani.","[{""start"": 27, ""end"": 38, ""label"": ""PER""}, {""start"": 40, ""end"": 50, ""label"": ""PER""}, {""start"": 52, ""end"": 66, ""label"": ""PER""}, {""start"": 72, ""end"": 82, ""label"": ""PER""}]"
Cut Nyak Dien adalah gubernur jawa barat.,"[{""start"": 0, ""end"": 13, ""label"": ""PER""}]"
"Penerima: Abdurrahman Wahid, Tujuan: Perumahan Grand Wisata Blok B2 No. 12, Tangerang","[{""start"": 10, ""end"": 27, ""label"": ""PER""}, {""start"": 37, ""end"": 85, ""label"": ""ADR""}]"
"Ia baru saja pindah ke 380 Park Drive, Singapura, 54824, Singapura.","[{""start"": 23, ""end"": 66, ""label"": ""ADR""}]"
"Panitia mengundang Andi Djemma, Diponegoro, dan Vladimir Putin sebagai narasumber.","[{""start"": 19, ""end"": 30, ""label"": ""PER""}, {""start"": 32, ""end"": 42, ""label"": ""PER""}, {""start"": 48, ""end"": 62, ""label"": ""PER""}]"
"Di antara peserta terdapat Sukaryo, Hendra, Alif Santoso, dan Joe Taslim.","[{""start"": 27, ""end"": 34, ""label"": ""PER""}, {""start"": 36, ""end"": 42, ""label"": ""PER""}, {""start"": 44, ""end"": 56, ""label"": ""PER""}, {""start"": 62, ""end"": 72, ""label"": ""PER""}]"
"Menurut Menteri Keuangan RI Gatot Subroto, kebijakan ini akan segera direvisi.","[{""start"": 28, ""end"": 41, ""label"": ""PER""}]"
I Gusti Ngurah Rai dan Fajar Nugraha kompak hadir dalam acara itu.,"[{""start"": 0, ""end"": 18, ""label"": ""PER""}, {""start"": 23, ""end"": 36, ""label"": ""PER""}]"
Ia baru saja pindah ke Sydney.,[]
"Menurut Evry Pramudya dan Kobe Bryant, kebijakan ini perlu direvisi.","[{""start"": 8, ""end"": 21, ""label"": ""PER""}, {""start"": 26, ""end"": 37, ""label"": ""PER""}]"
Kemarin Washington membahas Indonesia bersama timnya.,"[{""start"": 8, ""end"": 18, ""label"": ""PER""}]"
Panglima TNI sebelumnya adalah LeBron James.,"[{""start"": 31, ""end"": 43, ""label"": ""PER""}]"
"Penerima: Yanti, Tujuan: PO Box 2225, Makassar 25353","[{""start"": 10, ""end"": 15, ""label"": ""PER""}, {""start"": 25, ""end"": 52, ""label"": ""ADR""}]"
GEMPA BUMI GUNCANG WILAYAH SELATAN JAWA.,[]
Fajar bukan bagian dari agenda rapat kali ini.,[]
Rapat dewan direksi besok akan dipimpin oleh Kennedy.,"[{""start"": 45, ""end"": 52, ""label"": ""PER""}]"
"Gubernur DKI Jakarta, Churchill, menyampaikan pernyataan resmi kemarin.","[{""start"": 22, ""end"": 31, ""label"": ""PER""}]"
"Menteri Luar Negeri, Ustadzah Oki Setiana Dewi, menyampaikan pernyataan resmi kemarin.","[{""start"": 21, ""end"": 46, ""label"": ""PER""}]"
Dokumen itu merujuk pada Prancis.,[]
"Michael Phelps tinggal di Jl. Kebon Jeruk, RT 05/RW 02, Kel. Menteng, Balikpapan.","[{""start"": 0, ""end"": 14, ""label"": ""PER""}, {""start"": 26, ""end"": 80, ""label"": ""ADR""}]"
"Rumah kost berada di 943 Sunset Road, Seoul, Korea Selatan.","[{""start"": 21, ""end"": 58, ""label"": ""ADR""}]"
"Rumah beliau berada di Jalan Flamboyan, RT 18/RW 03, Kel. Sukajadi, Kec. Cimahi Utara, Jakarta, Bali, 39747.","[{""start"": 23, ""end"": 107, ""label"": ""ADR""}]"
"Rumah kost berada di Jalan Diponegoro No. 113B, RT 10/RW 17, Kel. Menteng, Denpasar.","[{""start"": 21, ""end"": 83, ""label"": ""ADR""}]"
@ahmaddhani baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 11, ""label"": ""PER""}]"
"RINA NOSE TINGGAL DI JL. FLAMBOYAN, RT 10/RW 14, KEL. ANTAPANI, TANGERANG.","[{""start"": 0, ""end"": 9, ""label"": ""PER""}, {""start"": 21, ""end"": 73, ""label"": ""ADR""}]"
Fajar semua diundang untuk hadir dalam acara tersebut.,[]
"AKBP Ade Safri Simanjuntak, Ruud van Nistelrooy, serta Diego Maradona kompak hadir dalam acara itu.","[{""start"": 0, ""end"": 26, ""label"": ""PER""}, {""start"": 28, ""end"": 47, ""label"": ""PER""}, {""start"": 55, ""end"": 69, ""label"": ""PER""}]"
"Pembawa Acara, Reza Rahadian, meresmikan acara tersebut.","[{""start"": 15, ""end"": 28, ""label"": ""PER""}]"
"Menurut Ir. Djoko Kirmanto, Dipl.HE, kebijakan ini harus segera dievaluasi.","[{""start"": 8, ""end"": 35, ""label"": ""PER""}]"
"ALAMAT SAYA DI 792 BAKER ROAD, SINGAPURA, 60746, SINGAPURA.","[{""start"": 15, ""end"": 58, ""label"": ""ADR""}]"
Perdana Menteri Inggris Rishi Sunak meresmikan acara tersebut.,"[{""start"": 24, ""end"": 35, ""label"": ""PER""}]"
"""Universitas Indonesia adalah prioritas kita,"" kata Michael Jordan.","[{""start"": 52, ""end"": 66, ""label"": ""PER""}]"
Sinta tinggal di Bandung sejak tahun lalu.,"[{""start"": 0, ""end"": 5, ""label"": ""PER""}]"
Apakah kamu sudah menghubungi Dra. Kartini Rahayu hari ini?,"[{""start"": 30, ""end"": 49, ""label"": ""PER""}]"
"SURAT UNTUK K.H. MA'RUF AMIN DIALAMATKAN KE GANG RAJAWALI NO. 33A, RT 06/RW 06, KEL. GUBENG, KEC. COBLONG, MAKASSAR, JAWA TENGAH, 84625.","[{""start"": 12, ""end"": 28, ""label"": ""PER""}, {""start"": 44, ""end"": 135, ""label"": ""ADR""}]"
Fajar mulai terlihat sejak dini hari.,[]
"Kost berada di Jalan Cempaka Putih No. 119A, RT 07/RW 06, Kel. Cihapit, Yogyakarta.","[{""start"": 15, ""end"": 82, ""label"": ""ADR""}]"
I Gusti Ngurah Rai adalah gubernur jawa barat.,"[{""start"": 0, ""end"": 18, ""label"": ""PER""}]"
Kemarin saya bertemu dengan Michael Jordan di Indonesia.,"[{""start"": 28, ""end"": 42, ""label"": ""PER""}]"
"""Meta adalah prioritas kita,"" kata Ahmad Dhani.","[{""start"": 35, ""end"": 46, ""label"": ""PER""}]"
"Menurut François Hollande dan dr. Reisa Broto Asmoro, kebijakan ini perlu direvisi.","[{""start"": 8, ""end"": 25, ""label"": ""PER""}, {""start"": 30, ""end"": 52, ""label"": ""PER""}]"
Kami sedang menunggu tanda tangan dari Michael Phelps untuk mencairkan dana.,"[{""start"": 39, ""end"": 53, ""label"": ""PER""}]"
Acara tahunan itu selalu digelar di Jawa Timur.,[]
"Penerima: Tigor Silaban, Tujuan: Gg. Kebon Jeruk No. 44, RT 18/RW 17, Kel. Cihapit, Tangerang","[{""start"": 10, ""end"": 23, ""label"": ""PER""}, {""start"": 33, ""end"": 93, ""label"": ""ADR""}]"
"Rapat dihadiri oleh Sri Mulyani, Ruud van Nistelrooy, Made, dan Andi Djemma sore ini.","[{""start"": 20, ""end"": 31, ""label"": ""PER""}, {""start"": 33, ""end"": 52, ""label"": ""PER""}, {""start"": 54, ""end"": 58, ""label"": ""PER""}, {""start"": 64, ""end"": 75, ""label"": ""PER""}]"
Nomor kontak yang bisa dihubungi adalah Sekolah Dasar Kartini.,[]
Surat dari Greysia Polii membahas rencana terkait Surabaya.,"[{""start"": 11, ""end"": 24, ""label"": ""PER""}]"
"Paket untuk Wayan dikirim ke Jalan Kenanga No. 107A, Bogor.","[{""start"": 12, ""end"": 17, ""label"": ""PER""}, {""start"": 29, ""end"": 58, ""label"": ""ADR""}]"
@sitiaminah baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 11, ""label"": ""PER""}]"
"Penerima: Sinta, Tujuan: 87 Washington Boulevard, Dubai, Uni Emirat Arab","[{""start"": 10, ""end"": 15, ""label"": ""PER""}, {""start"": 25, ""end"": 72, ""label"": ""ADR""}]"
"Kost berada di 652 Kennedy Road, New York, 12967, Amerika Serikat.","[{""start"": 15, ""end"": 65, ""label"": ""ADR""}]"
"Imam Bonjol baru saja pindah ke Jalan Sudirman, Malang.","[{""start"": 0, ""end"": 11, ""label"": ""PER""}, {""start"": 32, ""end"": 54, ""label"": ""ADR""}]"
"Menurut Neymar Jr., 0812-3456-7890 perlu dievaluasi ulang.","[{""start"": 8, ""end"": 18, ""label"": ""PER""}]"
KEBAKARAN HUTAN MELUAS DI KALIMANTAN.,[]
"Ruud van Nistelrooy tinggal di Jalan Imam Bonjol No. 165, RT 02/RW 11, Kel. Menteng, Kec. Coblong, Manado, Jawa Tengah, 42407.","[{""start"": 0, ""end"": 19, ""label"": ""PER""}, {""start"": 31, ""end"": 125, ""label"": ""ADR""}]"
Ia baru saja pindah ke Dubai.,[]
"Di antara peserta terdapat Bernard Arnault, Budi Gunadi Sadikin, dan Jean-Pierre Dubois.","[{""start"": 27, ""end"": 42, ""label"": ""PER""}, {""start"": 44, ""end"": 63, ""label"": ""PER""}, {""start"": 69, ""end"": 87, ""label"": ""PER""}]"
Saya melihat Wahyu sedang makan siang di kantin.,"[{""start"": 13, ""end"": 18, ""label"": ""PER""}]"
"Rapat RT akan diadakan di Jalan Anggrek No. 4B, RT 14/RW 12, Kel. Antapani, Manado.","[{""start"": 26, ""end"": 82, ""label"": ""ADR""}]"
Menteri Keuangan RI Beyoncé meresmikan acara tersebut.,"[{""start"": 20, ""end"": 27, ""label"": ""PER""}]"
KANTOR CABANG BARU AKAN DIBUKA DI SINGAPURA.,[]
Mawar mekar dengan indah di taman setiap pagi.,[]
"MENURUT FRANKLIN D. ROOSEVELT, 17 AGUSTUS 1945 PERLU DIEVALUASI ULANG.","[{""start"": 8, ""end"": 29, ""label"": ""PER""}]"
Kantor cabang baru akan dibuka di Los Angeles.,[]
Joko Widodo bertemu dengan rekannya di Medan.,"[{""start"": 0, ""end"": 11, ""label"": ""PER""}]"
"Rapat RT akan diadakan di Jalan Cemara No. 154, Manado.","[{""start"": 26, ""end"": 54, ""label"": ""ADR""}]"
"RAPAT DIHADIRI OLEH AGUS HARIMURTI YUDHOYONO, MICHAEL PHELPS, DEDI MULYADI, DAN DR. ANDI WIJAYA, SP.PD SORE INI.","[{""start"": 20, ""end"": 44, ""label"": ""PER""}, {""start"": 46, ""end"": 60, ""label"": ""PER""}, {""start"": 62, ""end"": 74, ""label"": ""PER""}, {""start"": 80, ""end"": 102, ""label"": ""PER""}]"
@narendramodi membagikan update terbaru di akunnya.,"[{""start"": 1, ""end"": 13, ""label"": ""PER""}]"
"Kost berada di Gg. Kenanga No. 67B, RT 14/RW 11, Kel. Antapani, Kec. Sukasari, Bogor, Jawa Barat, 76476.","[{""start"": 15, ""end"": 103, ""label"": ""ADR""}]"
Apakah kamu sudah menghubungi Raisa Andriana hari ini?,"[{""start"": 30, ""end"": 44, ""label"": ""PER""}]"
"Halo semua, nama gue Lisa, salam kenal ya!","[{""start"": 21, ""end"": 25, ""label"": ""PER""}]"
Jackie Chan berangkat ke kantor pagi ini.,"[{""start"": 0, ""end"": 11, ""label"": ""PER""}]"
"Dewi Anggraini, S.Psi., Psikolog bertemu dengan rekannya di Sekolah Dasar Kartini.","[{""start"": 0, ""end"": 32, ""label"": ""PER""}]"
"Ia baru saja pindah ke 374 Kennedy Lane, Seoul, Korea Selatan.","[{""start"": 23, ""end"": 61, ""label"": ""ADR""}]"
"Jaksa Agung, Roger Federer, menyampaikan pernyataan resmi kemarin.","[{""start"": 13, ""end"": 26, ""label"": ""PER""}]"
Jangan lupa follow @dewianggrainispsipsikolog untuk info terkini.,"[{""start"": 20, ""end"": 45, ""label"": ""PER""}]"
"Surat untuk Volodymyr Zelenskyy dialamatkan ke Jl. Melati No. 138B, RT 14/RW 20, Kel. Menteng, Semarang.","[{""start"": 12, ""end"": 31, ""label"": ""PER""}, {""start"": 47, ""end"": 103, ""label"": ""ADR""}]"
"Menurut laporan, Yth. Bapak/Ibu mengalami peningkatan signifikan.",[]
Jangan lupa undang Prabowo Subianto ke acara ulang tahun minggu depan.,"[{""start"": 19, ""end"": 35, ""label"": ""PER""}]"
Banyak pihak yang setuju dengan analisis Michael McDonald mengenai krisis ekonomi.,"[{""start"": 41, ""end"": 57, ""label"": ""PER""}]"
Nomor kontak Nita bisa dihubungi melalui London.,"[{""start"": 13, ""end"": 17, ""label"": ""PER""}]"
"Di antara peserta terdapat Cristiano Ronaldo, Prof. Dr. Ing. B.J. Habibie, dan Franklin D. Roosevelt.","[{""start"": 27, ""end"": 44, ""label"": ""PER""}, {""start"": 46, ""end"": 73, ""label"": ""PER""}, {""start"": 79, ""end"": 100, ""label"": ""PER""}]"
Jangan lupa undang Fitri ke acara ulang tahun minggu depan.,"[{""start"": 19, ""end"": 24, ""label"": ""PER""}]"
"Silakan kirim paket ke Gang Ahmad Dahlan, RT 19/RW 15, Kel. Antapani, Bogor.","[{""start"": 23, ""end"": 75, ""label"": ""ADR""}]"
"Fajar tinggal di Jl. Anggrek, Bekasi.","[{""start"": 0, ""end"": 5, ""label"": ""PER""}, {""start"": 17, ""end"": 36, ""label"": ""ADR""}]"
Suharto adalah salah satu tokoh penting dalam sejarah.,"[{""start"": 0, ""end"": 7, ""label"": ""PER""}]"
"Menurut Lionel Messi dan Dr. Andi Wijaya, kebijakan ini perlu direvisi.","[{""start"": 8, ""end"": 20, ""label"": ""PER""}, {""start"": 25, ""end"": 40, ""label"": ""PER""}]"
KEBAKARAN HUTAN MELUAS DI KALIMANTAN.,[]
Tolong sampaikan pesan ini kepada Ebiet G. Ade secepatnya.,"[{""start"": 34, ""end"": 46, ""label"": ""PER""}]"
Proyek ini dipimpin langsung oleh Eko.,"[{""start"": 34, ""end"": 37, ""label"": ""PER""}]"
Surat dari Shah Rukh Khan membahas rencana terkait johndoe@example.com.,"[{""start"": 11, ""end"": 25, ""label"": ""PER""}]"
Jangan lupa follow @kyaihajihasyimasyari untuk info terkini.,"[{""start"": 20, ""end"": 40, ""label"": ""PER""}]"
"Dewi Anggraini, S.Psi., Psikolog baru saja pindah dari COVID-19.","[{""start"": 0, ""end"": 32, ""label"": ""PER""}]"
"Perdana Menteri Inggris, Letjen (Purn) Prabowo Subianto, meresmikan acara tersebut.","[{""start"": 25, ""end"": 55, ""label"": ""PER""}]"
"Kost berada di Perumahan Taman Sari Blok B19 No. 31, Manado.","[{""start"": 15, ""end"": 59, ""label"": ""ADR""}]"
"""Ini adalah langkah yang tepat,"" tutur Yoga kepada wartawan.","[{""start"": 39, ""end"": 43, ""label"": ""PER""}]"
"Rapat dihadiri oleh Sari, Kobe Bryant, Prof. Dr. Ing. B.J. Habibie, dan Michael Jordan sore ini.","[{""start"": 20, ""end"": 24, ""label"": ""PER""}, {""start"": 26, ""end"": 37, ""label"": ""PER""}, {""start"": 39, ""end"": 66, ""label"": ""PER""}, {""start"": 72, ""end"": 86, ""label"": ""PER""}]"
Aji Masaid bekerja di Bandung.,"[{""start"": 0, ""end"": 10, ""label"": ""PER""}]"
@fajarnugraha baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 13, ""label"": ""PER""}]"
@franklindroosevelt baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 19, ""label"": ""PER""}]"
"Menurut Donald Trump, ""keputusan ini sudah final.""","[{""start"": 8, ""end"": 20, ""label"": ""PER""}]"
@imambonjol baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 11, ""label"": ""PER""}]"
"Tolong sampaikan pesan ini kepada Made Wirawan, S.H., M.H. secepatnya.","[{""start"": 34, ""end"": 58, ""label"": ""PER""}]"
Reza Rahadian bertemu dengan rekannya di Kementerian Keuangan.,"[{""start"": 0, ""end"": 13, ""label"": ""PER""}]"
"Nama: Jackie Chan, Alamat: Jalan Cempaka Putih, Malang.","[{""start"": 6, ""end"": 17, ""label"": ""PER""}, {""start"": 27, ""end"": 54, ""label"": ""ADR""}]"
@diegomaradona membagikan update terbaru di akunnya.,"[{""start"": 1, ""end"": 14, ""label"": ""PER""}]"
Baik Alif Santoso maupun Ebiet G. Ade belum memberikan komentar.,"[{""start"": 5, ""end"": 17, ""label"": ""PER""}, {""start"": 25, ""end"": 37, ""label"": ""PER""}]"
EKONOMI NASIONAL TUMBUH 5 PERSEN KUARTAL INI.,[]
Kemarin mobilnya Susi Pudjiastuti mogok di jalan tol.,"[{""start"": 17, ""end"": 33, ""label"": ""PER""}]"
"Sesuai catatan sipil, domisili tercatat di Dusun Ngepoh RT 18/RW 17, Kel. Tegalsari, Kec. Menteng, Kab. Bandung.","[{""start"": 43, ""end"": 111, ""label"": ""ADR""}]"
"Alamat saya di Jl. Basuki Rahmat No. 122, RT 05/RW 03, Kel. Menteng, Kec. Menteng, Medan, Kalimantan Timur, 85466.","[{""start"": 15, ""end"": 113, ""label"": ""ADR""}]"
"Menurut Kanjeng Gusti Pangeran Adipati Arya Mangkunegara IX, ""keputusan ini sudah final.""","[{""start"": 8, ""end"": 59, ""label"": ""PER""}]"
Jangan lupa follow @akbpadesafrisimanjuntak untuk info terkini.,"[{""start"": 20, ""end"": 43, ""label"": ""PER""}]"
"Rapat dihadiri oleh B.J. Habibie, Wulan Sari, S.Pd., M.Pd., Scarlett Johansson, dan Mark Zuckerberg sore ini.","[{""start"": 20, ""end"": 32, ""label"": ""PER""}, {""start"": 34, ""end"": 58, ""label"": ""PER""}, {""start"": 60, ""end"": 78, ""label"": ""PER""}, {""start"": 84, ""end"": 99, ""label"": ""PER""}]"
Ahmad Dahlan baru saja pindah dari Jakarta.,"[{""start"": 0, ""end"": 12, ""label"": ""PER""}]"
"KTP ATAS NAMA K.H. MA'RUF AMIN BERALAMAT DI 339 LINCOLN LANE, SYDNEY, AUSTRALIA.","[{""start"": 14, ""end"": 30, ""label"": ""PER""}, {""start"": 44, ""end"": 79, ""label"": ""ADR""}]"
Halo bukan bagian dari agenda rapat kali ini.,[]
"Kantor kami beralamat di Dusun Krajan RT 20/RW 12, Kel. Tegalsari, Kec. Menteng, Kab. Bogor.","[{""start"": 25, ""end"": 91, ""label"": ""ADR""}]"
Saya melihat Buya Hamka sedang makan siang di kantin.,"[{""start"": 13, ""end"": 23, ""label"": ""PER""}]"
Halo semua diundang untuk hadir dalam acara tersebut.,[]
"Silakan kirim paket ke Jl. Melati No. 168B, RT 20/RW 05, Desa Sukamaju, Kec. Sukasari, Malang, DKI Jakarta, 84615.","[{""start"": 23, ""end"": 113, ""label"": ""ADR""}]"
"Di antara peserta terdapat Washington, Agnez Mo, Yasonna Laoly, dan Fajar.","[{""start"": 27, ""end"": 37, ""label"": ""PER""}, {""start"": 39, ""end"": 47, ""label"": ""PER""}, {""start"": 49, ""end"": 62, ""label"": ""PER""}, {""start"": 68, ""end"": 73, ""label"": ""PER""}]"
"""Saya akan segera berangkat,"" ujar Yoga.","[{""start"": 35, ""end"": 39, ""label"": ""PER""}]"
"Rumah kost berada di Gg. Cemara No. 12A, RT 16/RW 05, Desa Sukamaju, Kec. Buah Batu, Depok, Sulawesi Selatan, 51253.","[{""start"": 21, ""end"": 115, ""label"": ""ADR""}]"
"Rumah kost berada di Jalan Mawar, RT 17/RW 17, Desa Cibogo, Bekasi.","[{""start"": 21, ""end"": 66, ""label"": ""ADR""}]"
KARYA SENI MILIK KOBE BRYANT BERHASIL TERJUAL DENGAN HARGA FANTASTIS.,"[{""start"": 17, ""end"": 28, ""label"": ""PER""}]"
BANJIR BESAR RENDAM RIBUAN RUMAH DI PESISIR.,[]
"Wali Kota Surabaya Hartono, S.T., M.T. menyampaikan pernyataan resmi kemarin.","[{""start"": 19, ""end"": 38, ""label"": ""PER""}]"
"Surat untuk Dian Sastrowardoyo dialamatkan ke Gg. Gatot Subroto No. 39B, Malang.","[{""start"": 12, ""end"": 30, ""label"": ""PER""}, {""start"": 46, ""end"": 79, ""label"": ""ADR""}]"
"Kyai Haji Hasyim Asy'ari baru saja pindah ke Jalan Anggrek, RT 01/RW 14, Kel. Menteng, Kec. Cimahi Utara, Bogor, Sulawesi Selatan, 99066.","[{""start"": 0, ""end"": 24, ""label"": ""PER""}, {""start"": 45, ""end"": 136, ""label"": ""ADR""}]"
Surat itu dikirim oleh D'Angelo di Tokyo minggu lalu.,"[{""start"": 23, ""end"": 31, ""label"": ""PER""}]"
Saya tinggal di Jakarta sejak kecil.,[]
"KTP atas nama Marie Curie beralamat di 499 Bridge Lane, Dubai, 62049, Uni Emirat Arab.","[{""start"": 14, ""end"": 25, ""label"": ""PER""}, {""start"": 39, ""end"": 85, ""label"": ""ADR""}]"
Surat itu dikirim oleh Mark Zuckerberg di Bulog minggu lalu.,"[{""start"": 23, ""end"": 38, ""label"": ""PER""}]"
"Daftar penerima meliputi Megawati Soekarnoputri, Zinedine Zidane, dan Agnez Mo dari divisi terkait.","[{""start"": 25, ""end"": 47, ""label"": ""PER""}, {""start"": 49, ""end"": 64, ""label"": ""PER""}, {""start"": 70, ""end"": 78, ""label"": ""PER""}]"
"""Saya akan segera berangkat,"" ujar Jeff Bezos.","[{""start"": 35, ""end"": 45, ""label"": ""PER""}]"
"Menurut laporan, Universitas Indonesia mengalami peningkatan signifikan.",[]
Yang semua diundang untuk hadir dalam acara tersebut.,[]
"Kantor kami beralamat di Gang Melati No. 52, RT 04/RW 11, Kel. Sukajadi, Kec. Tegalsari, Bogor, DI Yogyakarta, 35236.","[{""start"": 25, ""end"": 116, ""label"": ""ADR""}]"
Jangan lupa follow @jeffbezos untuk info terkini.,"[{""start"": 20, ""end"": 29, ""label"": ""PER""}]"
"Sesuai catatan sipil, domisili tercatat di 590 Victoria Avenue, Dubai, 21205, Uni Emirat Arab.","[{""start"": 43, ""end"": 93, ""label"": ""ADR""}]"
"Surat untuk Diponegoro dialamatkan ke 769 Jefferson Lane, Kuala Lumpur, 95375, Malaysia.","[{""start"": 12, ""end"": 22, ""label"": ""PER""}, {""start"": 38, ""end"": 87, ""label"": ""ADR""}]"
Diego Maradona tinggal di 0812-3456-7890 sejak tahun lalu.,"[{""start"": 0, ""end"": 14, ""label"": ""PER""}]"
Penghargaan Nobel tahun ini jatuh kepada AKBP Ade Safri Simanjuntak atas dedikasinya.,"[{""start"": 41, ""end"": 67, ""label"": ""PER""}]"
Keputusan final berada di tangan Basuki Rahmat selaku manajer proyek.,"[{""start"": 33, ""end"": 46, ""label"": ""PER""}]"
Kanjeng Gusti Pangeran Adipati Arya Mangkunegara IX bekerja di johndoe@example.com.,"[{""start"": 0, ""end"": 51, ""label"": ""PER""}]"
"SURAT UNTUK KOLONEL INF. RIZKY RAMADHAN DIALAMATKAN KE GG. DIPONEGORO, RT 16/RW 13, DESA CIBOGO, KEC. BUAH BATU, JAKARTA, DI YOGYAKARTA, 29806.","[{""start"": 12, ""end"": 39, ""label"": ""PER""}, {""start"": 55, ""end"": 142, ""label"": ""ADR""}]"
Abdul Haris Nasution bekerja di DPR RI.,"[{""start"": 0, ""end"": 20, ""label"": ""PER""}]"
FAJAR MEKAR DENGAN INDAH DI TAMAN SETIAP PAGI.,[]
Jangan lupa follow @churchill untuk info terkini.,"[{""start"": 20, ""end"": 29, ""label"": ""PER""}]"
Mawar semua diundang untuk hadir dalam acara tersebut.,[]
"Boyke Dian Nugraha, Sp.OG baru saja pindah ke 769 Churchill Drive, Paris, 42749, Prancis.","[{""start"": 0, ""end"": 25, ""label"": ""PER""}, {""start"": 46, ""end"": 88, ""label"": ""ADR""}]"
Rapat tersebut dihadiri oleh Ustadzah Oki Setiana Dewi dan Anthony D'Angelo.,"[{""start"": 29, ""end"": 54, ""label"": ""PER""}, {""start"": 59, ""end"": 75, ""label"": ""PER""}]"
"Alamat saya di Dusun Tegalrejo RT 19/RW 07, Kel. Sukajadi, Kec. Coblong, Kab. Malang.","[{""start"": 15, ""end"": 84, ""label"": ""ADR""}]"
Nomor kontak yang bisa dihubungi adalah Semarang.,[]
Rp1.000.000 baru saja merilis laporan tahunan.,[]
Menteri Luar Negeri Rian meresmikan acara tersebut.,"[{""start"": 20, ""end"": 24, ""label"": ""PER""}]"
Kemarin Yudi membahas Yth. Bapak/Ibu bersama timnya.,"[{""start"": 8, ""end"": 12, ""label"": ""PER""}]"
"Di antara peserta terdapat Made, Apriyani Rahayu, Raden Mas Soewardi Suryaningrat, dan Fajar.","[{""start"": 27, ""end"": 31, ""label"": ""PER""}, {""start"": 33, ""end"": 48, ""label"": ""PER""}, {""start"": 50, ""end"": 81, ""label"": ""PER""}, {""start"": 87, ""end"": 92, ""label"": ""PER""}]"
I Gusti Ngurah Rai resmi menjabat sebagai Ketua DPR RI mulai bulan depan.,"[{""start"": 0, ""end"": 18, ""label"": ""PER""}]"
"Lengkap, menurut laporan itu, akan segera diperbarui.",[]
Saya tinggal di Jawa Tengah sejak kecil.,[]
CUACA EKSTREM DIPERKIRAKAN LANDA JAKARTA PEKAN INI.,[]
HARGA BBM RESMI NAIK MULAI BESOK.,[]
"Nama Lengkap: Anggun C. Sasmi
Alamat: 266 Kennedy Street, Tokyo, 67993, Jepang.","[{""start"": 14, ""end"": 29, ""label"": ""PER""}, {""start"": 38, ""end"": 78, ""label"": ""ADR""}]"
"Surat untuk Conor O'Brien dialamatkan ke 916 Bridge Street, Seoul, Korea Selatan.","[{""start"": 12, ""end"": 25, ""label"": ""PER""}, {""start"": 41, ""end"": 80, ""label"": ""ADR""}]"
"Paket untuk Brigjen Pol Listyo Sigit Prabowo dikirim ke Gg. Kebon Jeruk, Semarang.","[{""start"": 12, ""end"": 44, ""label"": ""PER""}, {""start"": 56, ""end"": 81, ""label"": ""ADR""}]"
Buku terbaru itu ditulis oleh Diponegoro dan diterbitkan bulan lalu.,"[{""start"": 30, ""end"": 40, ""label"": ""PER""}]"
Teori yang diusulkan oleh Dra. Kartini Rahayu telah dipatahkan oleh penemuan baru.,"[{""start"": 26, ""end"": 45, ""label"": ""PER""}]"
"Panitia mengundang Sri Mulyani, Tubagus Chasan Sochib, Kanjeng Gusti Pangeran Adipati Arya Mangkunegara IX, dan Basuki Rahmat sebagai narasumber.","[{""start"": 19, ""end"": 30, ""label"": ""PER""}, {""start"": 32, ""end"": 53, ""label"": ""PER""}, {""start"": 55, ""end"": 106, ""label"": ""PER""}, {""start"": 112, ""end"": 125, ""label"": ""PER""}]"
Apakah kamu sudah menghubungi Muhammad Hasan Sadikin hari ini?,"[{""start"": 30, ""end"": 52, ""label"": ""PER""}]"
"Menurut laporan, 19.00 WIB mengalami peningkatan signifikan.",[]
"Silakan kirim paket ke Gg. Rajawali No. 112B, Jakarta.","[{""start"": 23, ""end"": 53, ""label"": ""ADR""}]"
"Dalam konferensi persnya, Diego Maradona menolak memberikan komentar.","[{""start"": 26, ""end"": 40, ""label"": ""PER""}]"
